account_id,app,reviewer,decision,review_date
A000233,Helix ITSM,prior.reviewer,approved,2026-06-23
A001066,Helix ITSM,prior.reviewer,approved,2026-06-28
A000726,Zoom,prior.reviewer,approved,2026-06-24
A001160,Active Directory,prior.reviewer,approved,2026-06-22
A000004,VPN,prior.reviewer,approved,2026-06-28
A000013,VPN,prior.reviewer,approved,2026-07-06
A001033,Zoom,prior.reviewer,approved,2026-06-25
A000569,Slack,prior.reviewer,approved,2026-06-24
A000717,Expense,prior.reviewer,approved,2026-07-11
A000072,Expense,prior.reviewer,approved,2026-06-25
A000483,Zoom,prior.reviewer,approved,2026-07-06
A000966,Compass CRM,prior.reviewer,approved,2026-06-27
A001188,Expense,prior.reviewer,approved,2026-07-09
A000443,MeridianPay,prior.reviewer,approved,2026-06-26
A000175,Active Directory,prior.reviewer,approved,2026-06-23
A000623,Active Directory,prior.reviewer,approved,2026-07-08
A000141,VPN,prior.reviewer,approved,2026-06-29
A001173,Gateway,prior.reviewer,approved,2026-07-07
A000243,Zoom,prior.reviewer,approved,2026-07-01
A001073,Zoom,prior.reviewer,approved,2026-07-12
A000850,Snowflake,prior.reviewer,approved,2026-06-29
A001026,Snowflake,prior.reviewer,approved,2026-07-01
A000512,Gateway,prior.reviewer,approved,2026-06-29
A000660,Active Directory,prior.reviewer,approved,2026-07-06
A000954,Helix ITSM,prior.reviewer,approved,2026-07-11
A000384,Zoom,prior.reviewer,approved,2026-07-08
A000660,Badge access,prior.reviewer,approved,2026-06-24
A000069,Badge access,prior.reviewer,approved,2026-06-22
A000573,Gateway,prior.reviewer,approved,2026-07-11
A000736,Helix ITSM,prior.reviewer,approved,2026-07-10
A001059,Slack,prior.reviewer,approved,2026-07-09
A000837,Slack,prior.reviewer,approved,2026-07-12
A000404,Gateway,prior.reviewer,approved,2026-06-23
A000587,Helix ITSM,prior.reviewer,approved,2026-06-28
A001113,Active Directory,prior.reviewer,approved,2026-06-25
A000182,VPN,prior.reviewer,approved,2026-06-22
A000324,Badge access,prior.reviewer,approved,2026-07-08
A000439,Expense,prior.reviewer,approved,2026-07-06
A000194,Slack,prior.reviewer,approved,2026-07-06
A000368,VPN,prior.reviewer,approved,2026-06-25
A000483,Badge access,prior.reviewer,approved,2026-07-11
A000916,Slack,prior.reviewer,approved,2026-07-07
A001051,Active Directory,prior.reviewer,approved,2026-06-25
A001120,Snowflake,prior.reviewer,approved,2026-07-10
A000788,Helix ITSM,prior.reviewer,approved,2026-07-07
A000015,Gateway,prior.reviewer,approved,2026-07-07
A000387,Atlas ERP,prior.reviewer,approved,2026-07-03
A000299,Expense,prior.reviewer,approved,2026-07-04
A001135,VPN,prior.reviewer,approved,2026-07-02
A000929,Active Directory,prior.reviewer,approved,2026-06-22
A000934,VPN,prior.reviewer,approved,2026-07-03
A000801,AWS NonProd,prior.reviewer,approved,2026-07-01
A000496,Jenkins,prior.reviewer,approved,2026-07-04
A000720,Helix ITSM,prior.reviewer,approved,2026-07-12
A000391,Expense,prior.reviewer,approved,2026-07-06
A000519,Zoom,prior.reviewer,approved,2026-07-01
A001068,Badge access,prior.reviewer,approved,2026-07-03
A000395,Badge access,prior.reviewer,approved,2026-07-05
A000723,VPN,prior.reviewer,approved,2026-07-09
A000231,Tableau,prior.reviewer,approved,2026-07-04
A000018,Slack,prior.reviewer,approved,2026-06-23
A000806,Gateway,prior.reviewer,approved,2026-06-29
A000342,Gateway,prior.reviewer,approved,2026-07-03
A000677,Gateway,prior.reviewer,approved,2026-07-11
A000169,Jenkins,prior.reviewer,approved,2026-06-24
A000911,Expense,prior.reviewer,approved,2026-07-07
A000224,Slack,prior.reviewer,approved,2026-07-02
A000100,Helix ITSM,prior.reviewer,approved,2026-07-09
